Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil,Referências
Divekick,Iron Galaxy Studios,Iron Galaxy Studios,Não,,,2014,2014,[74]
Doki-Doki Universe,HumaNature Studios,HumaNature Studios,Sony,2013,2014,2013,2013,[75]
Doom,Id Software,Bethesda Softworks,Não,,,,,[76]
Don't Starve,Klei Entertainment,Klei Entertainment,Console,2014,2014,2014,2014,[77]
Dragon Age: Inquisition,BioWare,Electronic Arts,Não,2014,2014,2014,2014,[78]
Dragon Ball Xenoverse,Dimps,Namco Bandai Games,Não,,,,,[79]
Dragon Fin Soup,Grimm Bros,Grimm Bros,Console,2015,2015,2015,2015,[20]
Dragon Quest Heroes,Koei Tecmo,Square Enix,Sony,—,2015,—,—,[20]
Dreadnaught,Yager Development,Grey Box,Console,2015,2015,2015,2015,[80]
Drifter,Celsius Game Studios,Celsius Game Studios,Console,2014,2014,2014,2014,.[81]
Driveclub,Evolution Studios,Sony Computer Entertainment,Sim,2014,2014,2014,2014,.[82]
Dying Light,Techland,Warner Bros. Interactive,Não,2015,2015,2015,2015,[83]
Dynasty Warriors 8: Xtreme Legends Complete Edition,Tecmo Koei,Tecmo Koei,Console,2014,2014,2014,2014,[84]
Dynasty Warriors 8: Empires,Omega Force,Tecmo Koei,Não,2014,,,,
EA Sports UFC,EA Canada,Electronic Arts,Não,2014,2014,2014,2014,[85]
Earth Defense Force 4.1: The Shadow of New Despair,,D3,Não,,2015,,,[86]
Earthlock: Festival of Magic,Snowcastle Games,Snowcastle Games,Não,2015,2015,2015,2015,
Energy Hook,Happion Labs,Happion Labs,Não,2014,,2014,2014,[87]
Entwined,Pixelopus,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[88]
Escape Plan,Fun Bits Interactive,Sony Computer Entertainment,Sony,2013,2014,2013,2013,[89]
Escape Goat 2,MagicalTimeBean,Double Fine Productions,Console,2014,2014,2014,2014,[90]
Ether One,White Paper Games,White Paper Games,Console,2014,2014,2014,2014,[91]
Everybody's Gone to the Rapture,The Chinese Room / SCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,,,,[92][93]
Evolve,Turtle Rock Studios,2K Games,Não,2015,2015,2015,2015,[94]
F1 2015,Codemasters,Codemasters,Não,2015,2015,2015,2015,
F1 2016,Codemasters,Codemasters,Não,2016,2016,2016,2016,
F1 2017,Codemasters,Codemasters,Não,2017,2017,2017,2017,
F1 2018,Codemasters,Codemasters,Não,2018,2018,2018,2018,
F1 2019,Codemasters,Codemasters,Não,2019,2019,2019,2019,
Fairy Fencer F: Advent Dark Force,Compile Heart,,Sim,,2015,,,[95]
Far Cry 4,Ubisoft Montreal,Ubisoft,Não,2014,2015,2014,2014,[96]
Farming Simulator 15,Giants Software,Focus Home Interactive,Não,2015,2015,2015,2015,
Farming Simulator 17,Giants Software,Focus Home Interactive,Não,2016,2017,2016,2016,
Farming Simulator 19,Giants Software,Focus Home Interactive,Não,2018,2019,2018,2018,
Fez,Polytron Corporation,Polytron Corporation,Não,2014,,2014,2014,[97][98][99]
Fenix Rage,Green Lava Studios,Green Lava Studios,Não,,,,,
Fibbage,Jackbox Games,Jackbox Games,Não,,,2014,2014,
FIFA 14,EA Canada,Electronic Arts,Não,2013,2014,2013,2013,[85]
FIFA 15,EA Canada,Electronic Arts,Não,2014,,2014,2014,[100]
FIFA 16,EA Canada,Electronic Arts,Não,2015,2015,2015,2015,
FIFA 17,EA Canada,Electronic Arts,Não,2016,2016,2016,2016,
FIFA 18,EA Canada,Electronic Arts,Não,2017,2017,2017,2017,
FIFA 19,EA Canada,Electronic Arts,Não,2018,2018,2018,2018,
FIFA 20,EA Canada,Electronic Arts,Não,2019,2019,2019,2019,
FIFA 21,EA Canada,Electronic Arts,Não,2020,2020,2020,2020,
FIFA 22,EA Canada,Electronic Arts,Não,2021,2021,2021,2021,
Final Fantasy Type-0 HD,Square Enix,Square Enix,Não,2015,2015,2015,—,[101]
Final Fantasy XIV: A Realm Reborn,Square Enix,Square Enix,Console,2014,2014,2014,—,[102]
Final Fantasy XV,Square Enix,Square Enix,Não,,,,,[103]
Final Horizon,Eiconic Games,Eiconic Games,Console,,,,,[104]
Flockers,Team17,Team17,Não,2014,2014,2014,2014,
Flow,SuperVillain Studios,Sony Computer Entertainment,Console,2013,2014,2013,2013,[89]
Flower,Bluepoint Games,Sony Computer Entertainment,Sony,2013,2014,2013,2013,[53][89]
Forgotten Memories,Psychoz Interactive,Psychoz Interactive,Não,,,,,[105]
Forma.8,MixedBag Games,MixedBag Games,Não,2014,2014,2014,2014,[106][107]
Foul Play,Mediatonic,Devolver Digital,Não,,,,,[108]
Fushigi no Gensōkyō 3,AQUA STYLE,Mediascape,Console,,,,,[109][110]
Galak-Z: The Dimensional,17-BIT,17-BIT,Console,2014,2014,2014,2014,[111]
Get Even,The Farm 51,The Farm 51,Não,2015,2015,2015,2015,[112]
God Eater 2: Rage Burst,Namco Bandai,Namco Bandai,Sim,,,,,[113]
God of War III Remastered,SCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,2015,2015,2015,
God of War,SCE Santa Monica Studio,Sony Interactive Entertainment,Sim,,,,,
God of War Ragnarök,Santa Monica Studio,Sony Interactive Entertainment,Console,2022,2022,2022,2022,
Gone Home,The Fullbright Company,Midnight City,Não,2014,,2014,2014,[114]
Grand Theft Auto V,Rockstar North,Rockstar Games,Não,2014,2014,2014,2014,[115]
Gran Turismo 7,Polyphony Digital,Sony Computer Entertainment,Sim,,,,,[116]
Grave,Broken Window Studios,Broken Window Studios,Não,,,,,
Grim Fandango,Double Fine Productions,Disney Interactive Studios,Não,,,,,[117]
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,Não,2014,2014,2014,2014,[118]
Guilty Gear Xrd,Arc System Works,JP Arc System WorksAN Aksys Games,Console,2014,2014,2014,2014,[119]
Guns of Icarus Online,Muse Games,Muse Games,Console,2014,2014,2014,2014,[120]
Gunsport,Necrosoft Games,Iron Galaxy Studios,Não,,,,,
H-Hour: World's Elite,SOF Studios,SOF Studios,Console,2015,2015,2015,2015,[121]
Hand of Fate,Defiant Development,Defiant Development,Console,,,,,[122]
Heart Forth: Alicia,Alonso Martin,,Console,,,,,[123]
Helldivers,Arrowhead Studios,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[124]
Hellraid,Techland,Techland,Não,2015,2015,2015,2015,[125]
Hohokum,Honeyslug,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[126]
Home,Benjamin Rivers,Benjamin Rivers,Console,2014,2014,2014,2014,[127]
Homefront: The Revolution,Crytek,Deep Silver,Não,2015,2015,2015,2015,
Horizon: Zero Dawn,Guerilla Games,Sony Computer Entertainment,Sim,2017,2017,2017,2017,[128][129]
Hotline Miami,Dennaton Games,Devolver Digital,Console,2014,,2014,2014,
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,Console,2014,,2014,2014,
Human Element,Robotoki,Robotoki,Não,2015,2015,2015,2015,[130]
HUNT: Horrors of the Gilded Age,Crytek USA,Crytek,Não,2014,2014,2014,2014,[131]
Hyperdimension Neptunia VII,Compile Heart,Compile Heart,Sim,,,,,[2]
Hyper Light Drifter,Heart Machine,Heart Machine,Não,2014,2014,2014,2014,[132][133]
Infamous: Second Son,Sucker Punch Productions,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[134]
Infamous First Light,Sucker Punch Productions,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[135]
Injustice: Gods Among Us Ultimate Edition,High Voltage Software,Warner Bros. Interactive Entertainment,Não,2013,2014,2013,2013,[134][136][137]
Ironclad Tactics,Zachtronics,Zachtronics,Console,2014,2014,2014,2014,[138]
The Jackbox Party Pack,Jackbox Games,Jackbox Games,Não,2015,,2014,2015,
The Jackbox Party Pack 2,Jackbox Games,Jackbox Games,Não,2015,,2015,2015,
The Jackbox Party Pack 3,Jackbox Games,Jackbox Games,Não,2016,,2016,2016,
The Jackbox Party Pack 4,Jackbox Games,Jackbox Games,Não,2017,,2017,2017,
The Jackbox Party Pack 5,Jackbox Games,Jackbox Games,Não,2018,,2018,2018,
The Jackbox Party Pack 6,Jackbox Games,Jackbox Games,Não,,,,,
Jamestown Plus,Final Form Games,Final Form Games,Console,2014,2014,2014,2014,[139]
Joysound Dive 2,Xing Entertainment,Xing Entertainment,Sim,,2014,,,[140]
Just Dance 2014,Ubisoft Milan,Ubisoft,Não,2013,2014,2013,2013,[141]
Just Dance 2015,Ubisoft Milan & Ubisoft Paris,Ubisoft,Não,2014,2014,2014,2014,
Just Dance 2016,Ubisoft,Ubisoft,Não,2015,2015,2015,2015,
Just Dance 2017,Ubisoft Montreal,Ubisoft,Não,2016,2016,2016,2016,
Just Dance 2018,Ubisoft Paris,Ubisoft,Não,2017,2017,2017,2017,
Just Dance 2019,Ubisoft Paris,Ubisoft,Não,2018,2018,2018,2018,
Just Dance 2020,Ubisoft Paris,Ubisoft,Não,2019,2019,2019,2019,
Kickbeat,Zen Studios,Zen Studios,Não,2014,2014,2014,2014,[42]
Killzone Shadow Fall,Guerrilla Games,Sony Computer Entertainment,Sim,2013,2014,2013,2013,[142]
King Oddball,10tons Ltd.,10tons Ltd.,Console,2014,,2014,2014,[143]
Kingdom Come: Deliverance,Warhorse Studios,Warhorse Studios,Não,2015,,2015,2015,[144]
Kingdom Hearts III,Square Enix,Square Enix,Não,,,,,[145]
Kingdom Under Fire II,Blueside,,Console,,,2014,2014,[146]
Knack,SCE Japan Studio,Sony Computer Entertainment,Sim,2013,2014,2013,2013,[147]
Kodoku,Carnivore Studio,Carnivore Studio,Sony,2015,2015,2015,2015,[148]
Legend of Raven,Circle Edge,Nicalis,Não,,,2014,2014,[149]
Lego The Hobbit,TT Games,Warner Bros. Interactive Entertainment,Não,2014,,2014,2014,[150]
Lego Marvel Super Heroes,TT Games,Warner Bros. Interactive Entertainment,Não,2013,2014,2013,2013,[151]
Liege,Coda Games,Coda Games,Não,2014,2014,2014,2014,[152]
Lily Bergamo,Grasshopper Manufacture,GungHo Online Entertainment,Sim,2014,2014,2014,2014,[153]
LittleBigPlanet 3,Sumo Digital,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[154]
Lords of the Fallen,Deck13 Interactive,City Interactive,Não,2014,2014,2014,2014,[155]
Mad Max,Avalanche Studios,Warner Bros. Interactive,Não,2015,2015,2015,2015,[156]
Madden NFL 25,EA Tiburon,Electronic Arts,Não,2012,2014,2013,2013,[85]
Madden NFL 15,EA Tiburon,Electronic Arts,Não,,,,,[85]
Madden NFL 16,EA Tiburon,Electronic Arts,Não,,2015,2015,2015,
Madden NFL 17,EA Tiburon,Electronic Arts,Não,2016,2016,2016,2016,
Madden NFL 18,EA Tiburon,Electronic Arts,Não,2017,2017,2017,2017,
Madden NFL 19,EA Tiburon,Electronic Arts,Não,2018,2018,2018,2018,
Madden NFL 20,EA Tiburon,Electronic Arts,Não,2019,2019,2019,2019,
Magicka 2,Pieces Interactive,Paradox Interactive,Console,,,,,[157]
Marc Ecko's Getting Up 2,,,Não,,,,,[158]
Mário NX,Nintendo EZ,Ancmit,Console,2014,2014,2014,2014,
Marvel vs. Capcom: Infinite,Capcom,Capcom,Não,2017,2017,2017,2017,
Metal Gear Solid V: Ground Zeroes,Kojima Productions,Konami,Não,2014,2014,2014,2014,[159]
Metal Gear Solid V: The Phantom Pain,Kojima Productions,Konami,Não,2015,2015,2015,2015,[160]
Metro 2033 Redux,4A Games,Deep Silver,Não,2014,2014,2014,2014,[161]
Metro: Last Light Redux,4A Games,Deep Silver,Não,2014,2014,2014,2014,[161]
Terra-Média: Sombras de Mordor,Monolith Productions,Warner Bros. Interactive,Não,2014,2014,2014,2014,[162]
Mighty No. 9,Comcept / Inti Creates,,Não,2014,2014,2014,2014,[163]
Minecraft,4J Studios,Mojang,Não,,2014,2014,2014,[164]
Mirror's Edge 2,DICE,Electronic Arts,Não,,,,,[165]
MLB 14: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[166]
MLB 15: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2015,2015,2015,2015,
MLB 16: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2016,2016,2016,2016,
MLB 17: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2017,2017,2017,2017,
MLB 18: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2018,2018,2018,2018,
MLB 18: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2018,2018,2018,2018,
MLB 19: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2019,2019,2019,2019,
Mobile Suit Gundam,Bandai Namco Games,Bandai Namco Games,Sim,,,,,[167]
Monochroma,Nowhere Studios,Nowhere Studios,Não,2014,,2014,2014,[168]
Mortal Kombat X,NetherRealm Studios,Warner Bros. Interactive Entertainment,Não,2015,2015,2015,2015,
MotoGP 14,Milestone S.r.l.,Milestone S.r.l.,Console,2014,2014,2014,2014,[169]
MotoGP 15,Milestone S.r.l.,Milestone S.r.l.,Console,2015,2015,2015,2015,
MotoGP 16,Milestone S.r.l.,Milestone S.r.l.,Console,2016,2016,2016,2016,
MotoGP 17,Milestone S.r.l.,Milestone S.r.l.,Console,2017,2017,2017,2017,
MotoGP 18,Milestone S.r.l.,Milestone S.r.l.,Console,2018,2018,2018,2018,
MotoGP 19,Milestone S.r.l.,Milestone S.r.l.,Console,2019,2019,2019,2019,
Mousecraft,Crunching Koalas,Crunching Koalas,Console,2014,,2014,2014,[170]
Murdered: Soul Suspect,Airtight Games,Square Enix,Não,2014,,2014,2014,
MXGP The Official Motocross Videogame,Milestone S.r.l.,Milestone S.r.l.,Não,2014,2014,2014,2014,
MXGP 2,Milestone S.r.l.,Milestone S.r.l.,Não,2016,2016,2016,2016,
MXGP 3,Milestone S.r.l.,Milestone S.r.l.,Não,2017,2017,2017,2017,
MXGP 4,Milestone S.r.l.,Milestone S.r.l.,Não,2019,2019,2019,2019,
N++,Metanet Software,,Sim,2014,2014,2014,2014,[171]
Naruto Shippuden: Ultimate Ninja Storm 4,CyberConnect2,Bandai Namco Games,Não,2016,2016,2016,2016,
Naruto Shippuden: Ultimate Ninja Storm Trilogy,CyberConnect2,Bandai Namco Entertainment,Não,2017,2017,2017,2017,
Natural Doctrine,Kadokawa Games,Kadokawa Games,Sony,2014,2014,2014,2014,[172]
NBA 2K14,Visual Concepts,2K Sports,Não,2013,2014,2013,2013,[173]
NBA 2K15,Visual Concepts,2K Sports,Não,,,2014,2014,
NBA 2K16,Visual Concepts,2K Sports,Não,2015,2015,2015,2015,
NBA 2K17,Visual Concepts,2K Sports,Não,2016,2016,2016,2016,
NBA 2K18,Visual Concepts,2K Sports,Não,2017,2017,2017,2017,
NBA 2K19,Visual Concepts,2K Sports,Não,2018,2018,2018,2018,
NBA 2K20,Visual Concepts,2K Sports,Não,2019,2019,2019,2019,
NBA Live 14,EA Tiburon,Electronic Arts,Não,2013,2014,2013,2013,[85]
NBA Live 15,EA Tiburon,Electronic Arts,Não,2014,2014,2014,,
NBA Live 16,EA Tiburon,Electronic Arts,Não,2016,2015,2015,2015,
NBA Live 18,EA Tiburon,Electronic Arts,Não,2017,2017,2017,2017,
NBA Live 19,EA Tiburon,Electronic Arts,Não,2018,2018,2018,2018,
NBA Playgrounds,Saber Interactive,Saber Interactive,Não,,2017,2017,,
Need for Speed: Heat,Ghost Games,Electronic Arts,Não,2019,2019,2019,2019,[174]
Need for Speed: Rivals,Ghost Games,Electronic Arts,Não,2013,2014,2013,2013,[175]
NHL 15,EA Vancouver,EA Sports,Não,2014,,2014,2014,[176]
NHL 16,EA Vancouver,EA Sports,Não,2015,2015,2015,2015,
NHL 17,EA Vancouver,EA Sports,Não,2016,2016,2016,2016,
NHL 18,EA Vancouver,EA Sports,Não,2017,2017,2017,2017,
NHL 19,EA Vancouver,EA Sports,Não,2018,2018,2018,2018,
NHL 20,EA Vancouver,EA Sports,Não,2019,2019,2019,2019,
Nikoli no Puzzle 4: Sudoku,HAMSTER,HAMSTER,Sim,,2014,,,[177]
Nidhogg,Messhof,Messhof,Console,2014,2014,2014,2014,[178]
Ninja Kid's Demon Castle Adventure,Hamster Corporation,Hamster Corporation,Não,,2014,,,[55]
Nobunaga no Yabō Online: Tenka Mugen no Shō,Tecmo Koei,Tecmo Koei,Console,,2014,,,[179]
Nobunaga no Yabō: Sozō,Tecmo Koei,Tecmo Koei,Sony,,2014,,,[180]
No Man's Sky,Hello Games,Hello Games,Não,2016,2016,2016,2016,
Not a Hero,Roll7,Devolver Digital,Timed,2014,2014,2014,2014,
Nuclear Throne,Vlambeer,Vlambeer,Não,,,,,[181]
Octodad: Dadliest Catch,"Young Horses, Inc","Young Horses, Inc",Console,2014,2014,2014,2014,[182][183]
Oddworld: New 'n' Tasty!,Just Add Water,Oddworld Inhabitants,Não,,,,,[184]
OlliOlli,Roll7,Roll7,Console,2014,2014,2014,2014,[185]
Omega Quintet,Compile Heart,Compile Heart,Sim,,2014,,,[186]
One Piece: Burning Blood,Spike Chunsoft,Bandai Namco Games,Não,2016,2016,2016,2016,
Os Cavaleiros do Zodíaco: Alma dos Soldados,Dimps,Bandai Namco Games,Não,2015,2015,2015,2015,
Outlast,Red Barrels Studio,Red Barrels Studio,Console,2014,2014,2014,2014,[187]
Pavilion,Visiontrick Media,Visiontrick Media,Sony,2014,2014,2014,2014,[188]
Pro Evolution Soccer 2015,Konami,Konami,Não,2014,2014,2014,2014,
Pro Evolution Soccer 2016,Konami,Konami,Não,2015,2015,2015,2015,
Pro Evolution Soccer 2017,Konami,Konami,Não,2016,2016,2016,2016,
Pro Evolution Soccer 2018,Konami,Konami,Não,2017,2017,2017,2017,
Pro Evolution Soccer 2019,Konami,Konami,Não,2018,2018,2018,2018,
Pro Evolution Soccer 2020,Konami,Konami,Não,2019,2019,2019,2019,
Phantom Breaker: Battle Grounds Overdrive,5pb.,5pb.,Sim,,,,,[189]
PixelJunk Shooter Ultimate,Double Eleven Studios / Q-Games,Sony Computer Entertainment,Sony,2014,2014,2014,2014,[190]
Pier Solar HD,WaterMelon,WaterMelon,Não,2014,2014,2014,2014,[191]
Plants vs. Zombies: Garden Warfare,PopCap Games,Electronic Arts,Não,2014,,2014,2014,
Plants vs Zombies: Garden Warfare 2,PopCap Games,Eletronic Arts,Não,2016,ASA,2016,2016,[192]
Pool Nation Extreme/FX,Cherry Pop Games,Cherry Pop Games,Não,2014,2014,,,[53]
Primal Carnage: Genesis,First-person shooter,,Console,,,,,[193]
Project CARS,Slightly Mad Studios,Slightly Mad Studios,Não,2015,2015,2015,2015,[194]
Project CARS 2,Slightly Mad Studios,Slightly Mad Studios,Não,2017,2017,2017,2017,
Project: Heart and Soul,Reach Game Studios,,Console,,,,,[195]
Project Phoenix,Creative Intelligence Arts,Creative Intelligence Arts,Console,2014,2014,2014,2014,[196]
Pure Pool,VooFoo Studios,VooFoo Studios,Não,,,,,[197]
Putty Squad,System 3,System 3,Não,2013,,2014,2014,[198]
QuickDraw,Greenfly Studios,Greenfly Studios,Console,,,2014,2014,[199]
Race the Sun,Flippfly,Flippfly,Console,2014,2014,2014,2014,[200]
Rayman Legends,Ubisoft Montpellier,Ubisoft,Não,2014,,2014,2014,[201]
Ray's the Dead,Ragtag Studios,Ragtag Studios,Console,,,,,[202]
R.B.I. Baseball 14,Behaviour Interactive,MLB Advanced Media,Não,,,2014,2014,
R.B.I. Baseball 15,HB Studios,MLB Advanced Media,Não,,,2015,2015,
R.B.I. Baseball 16,HB Studios,MLB Advanced Media,Não,2016,,2016,2016,
R.B.I. Baseball 17,MLB Advanced Media,MLB Advanced Media,Não,2017,,2017,2017,
R.B.I. Baseball 18,MLB Advanced Media,MLB Advanced Media,Não,2018,,2018,2018,
R.B.I. Baseball 19,MLB Advanced Media,MLB Advanced Media,Não,2019,,2019,2019,
Ready to Run,Beatshapers,Beatshapers,Sim,,,2014,2014,[203]
Red Dead Redemption 2,Rockstar Games,Rockstar Games,Não,2018,2018,2018,2018,
Resident Evil: Revelations 2,Capcom,Capcom,Não,2015,2015,2015,2015,
Resident Evil 2 Remake,Capcom,Capcom,Não,,,,,
Resident Evil 4,Capcom,Capcom,Não,2016,2016,2016,2016,
Resident Evil 5,Capcom,Capcom,Não,2016,2016,2016,2016,
Resident Evil 6,Capcom,Capcom,Não,2016,2016,2016,2016,
Resident Evil 7: Biohazard,Capcom,Capcom,Não,2017,2017,2017,2017,[204]
Resident Evil Origins Collection (R.E 0 e R.E 1),Capcom,Capcom,Não,2016,2016,2016,2016,
Resogun,Housemarque,Sony Computer Entertainment,Sim,2013,2014,2013,2013,[205]
Ride,Milestone S.r.l.,Milestone S.r.l.,Não,2015,2015,2015,2015,
Ride 2,Milestone S.r.l.,Milestone S.r.l.,Não,2017,2017,2017,2017,
Ride 3,Milestone S.r.l.,Milestone S.r.l.,Não,2019,2019,2019,2019,
Rime,Tequila Works,Sony Computer Entertainment,Sim,,,,,[206]
Road Not Taken,Spry Fox,Spry Fox,Console,,,,,[207]
Rocketbirds 2: Evolution,Ratloop,,Sony,,,,,[208]
Rogue Legacy,Cellar Door Games,Cellar Door Games,Console,2014,2014,2014,2014,[209]
Rugby 15,HB Studios,Bigben Interactive,Não,2014,2014,2014,2014,
Rygar,Tecmo,Hamster Corporation,Não,,2014,,,[55]
